,review,vote
0,"A truly mediocre meal.  We went for Saturday brunch, and were the first table to be seated. Food - The salad bar is very good. Nicely presented and everything was fresh and tasty. The meats were not good.  It's a ""steak house"" they really need to get that part right.  The meat was so dry and overcooked I thought they might be reheated from the previous night. The manager assured us everything was cooked fresh. It did not taste that way. Service - service was attentive friendly and punctual. We spoke to the manager. She listened to out concerns and discounted our meals by $10. I would recommend the salad bar on weekday for lunch at this spot and recommend that you skip the meat.",4.0
1,"Serving exceptional meals is what we strive for, Donald, so please know that we take your comments seriously. We will be addressing your feedback with our team. To discuss your visit further, please feel free to send us an email at feedback@fogo.com with your phone number and availability. Thank you and we hope to have a chance to give you a better experience. ",0.0
2,"We found an amazing deal on instagram for a special price to enjoy this Brazilian bbq. The whole meal is pretty pleasant. There are so much meat, definitely a heaven for meat lovers. The meats quality is nice but some of them are pretty chewy. The buffet bar is so cool. You can enjoy a lot of simple Brazilian cuisine from there. One of my favorite is the Brazilian cheese bread, they are just so yummy, starchy and also airy. I will go there again if they have good deals again. Otherwise, I'm kinda scared to enjoy too much meat for dinner.",4.0
3,So we came downtown today to see a Filipino art festival and decided to eat something that we both have not had in a very long time . We started out with the brunch menu. We tried the salad with a lot of choices . We also ordered the jumbo shrimp cocktail. We ordered diet soda to drink and had to ask for it twice . Which they did spill my soda. They come to your table with different varieties of meat options that is on a large spiraled device and the got your meat off from the device into metal plate . The wait to get some of the food is a slow wait as they go to every table . The fill of the place is very inviting and well lit . My overall experience was I would eat here again after learning how the menu itself works . Only negative was understanding how to to turn the cards over to stop food or bring food out . They go over that part very quickly and most are in awe if coming in for the first time . .,3.0
4,"I had always heard of Fogo Dr Chão so I decided to bring my wife here for a Valentine's Day dinner to try it out... I was thinking that the vibe here would be romantic and private due to the price and type of food they served and boy was I wrong... best way I can explain it is as an upscale hometown buffet... the place was pretty packed and the tables had minimal privacy Aside from that surprise though, the food itself was quite delicious and the service was decent! A little hard to understand some of the staff sometimes when they came over, but we tried about 90% of what was on the menu and enjoyed all of it... dessert was tasty, too! I'm not sure I'd come back again, but definitely worth a shot and I'd say still pretty worth the price",5.0
5,"Fogo is a treat every few years. It's not where I'd send visiting friends who only have a few nights in town, but it's a fun experience if you're local or don't have a Brazilian Steakhouse in your home city. My favorite way to do it is with 3-4 friends, but it's fun on a date too. Just come hungry so you can enjoy as much as possible!My favorite is always the lamb. They have both lamb chops and lamb picanha. Everything else is great too. I always leave stuffed. If the meat didn't do it, the cheese bread sure would. I could eat dozens of them. No need to save room for dessert- it's just okay. It's a fun night out!",4.0
6,"Been coming to forgo de chao since they opened. I was biased to the ""other"" spot and only came every now and then. But it has come a long way since opening. The service is great and the food is amazing!David our waiter really made our experience the best I've had. I will definitely keep coming back!",4.0
7,"Always a great experience here every time I go, I like this place so much, I'd even consider coming here alone to dine. The staff is always great, the food is amazing, and the atmosphere is always great too. I'd recommend couples and mid to large groups to come here, guaranteed you will not be disappointed. Make a reservation, they'll accommodate you better than just walking in.",4.0
8,Food is always good but the server David was on point. Always checked on us and got us whatever we needed. David was very personable and efficient in serving us.  The service during lunch is definitely better than dinner. Thanks David for taking care of us!,5.0
9,Mike the Chicken Guy was amazing!! His service was great and whatever meats we wanted he would always get it for us! We always come back because of this guy!,5.0
